id,type,pLoad,qLoad,pGen,vSet
1,3,0,0,23.54,1
2,2,21.7,12.7,60.97,1
3,1,2.4,1.2,0,1
4,1,7.6,1.6,0,1
5,1,0,0,0,1
6,1,0,0,0,1
7,1,22.8,10.9,0,1
8,1,30,30,0,1
9,1,0,0,0,1
10,1,5.8,2,0,1
11,1,0,0,0,1
12,1,11.2,7.5,0,1
13,2,0,0,37,1
14,1,6.2,1.6,0,1
15,1,8.2,2.5,0,1
16,1,3.5,1.8,0,1
17,1,9,5.8,0,1
18,1,3.2,0.9,0,1
19,1,9.5,3.4,0,1
20,1,2.2,0.7,0,1
21,1,17.5,11.2,0,1
22,2,0,0,21.59,1
23,2,3.2,1.6,19.2,1
24,1,8.7,6.7,0,1
25,1,0,0,0,1
26,1,3.5,2.3,0,1
27,2,0,0,26.91,1
28,1,0,0,0,1
29,1,2.4,0.9,0,1
30,1,10.6,1.9,0,1
