id,type,pLoad,qLoad,pGen,vSet
1,1,90,49,0,1
2,1,56,15,0,1
3,1,20,0,0,1
4,1,0,0,0,1
5,1,353,130,0,1
6,1,120,41,0,1
7,1,0,0,0,1
8,1,63,14,0,1
9,1,96,43,0,1
10,1,153,33,0,1
11,1,83,21,0,1
12,1,0,0,0,1
13,1,58,10,0,1
14,1,160,60,0,1
15,1,126.7,23,0,1
16,1,0,0,0,1
17,1,561,220,0,1
18,1,0,0,0,1
19,1,605,120,0,1
20,1,77,1,0,1
21,1,81,23,0,1
22,1,21,7,0,1
23,1,0,0,0,1
24,1,45,12,0,1
25,1,28,9,0,1
26,1,69,13,0,1
27,1,55,6,0,1
28,1,0,0,0,1
29,1,0,0,0,1
30,1,0,0,0,1
31,1,85,32,0,1
32,1,155,18,0,1
33,1,0,0,0,1
34,1,46,-21,0,1
35,1,86,0,0,1
36,1,0,0,0,1
37,1,39,9,0,1
38,1,195,29,0,1
39,1,0,0,0,1
40,1,0,0,0,1
41,1,58,11.8,0,1
42,1,41,19,0,1
43,1,92,26,0,1
44,1,-5,5,0,1
45,1,61,28,0,1
46,1,69,3,0,1
47,1,10,1,0,1
48,1,22,10,0,1
49,1,98,20,0,1
50,1,14,1,0,1
51,1,218,106,0,1
52,1,0,0,0,1
53,1,227,110,0,1
54,1,0,0,0,1
55,1,70,30,0,1
56,1,0,0,0,1
57,1,0,0,0,1
58,1,56,20,0,1
59,1,116,38,0,1
60,1,57,19,0,1
61,1,224,71,0,1
62,1,0,0,0,1
63,1,208,107,0,1
64,1,74,28,0,1
65,1,0,0,0,1
66,1,48,14,0,1
67,1,28,7,0,1
68,1,0,0,0,1
69,2,37,13,375,1.025
70,1,0,0,0,1
71,1,0,0,0,1
72,1,0,0,0,1
73,1,0,0,0,1
74,1,44.2,0,0,1
75,1,66,0,0,1
76,2,17.4,0,155,1.052
77,2,15.8,0,290,1.052
78,1,60.3,0,0,1
79,1,39.9,0,0,1
80,2,66.7,0,68,1
81,1,83.5,0,0,1
82,1,0,0,0,1
83,1,77.8,0,0,1
84,1,32,0,0,1
85,1,8.6,0,0,1
86,1,49.6,0,0,1
87,1,4.6,0,0,1
88,2,112.1,0,117,0.99
89,1,30.7,0,0,1
90,1,63,0,0,1
91,1,19.6,0,0,1
92,1,26.2,0,0,1
93,1,18.2,0,0,1
94,1,0,0,0,1
95,1,0,0,0,1
96,1,0,0,0,1
97,1,14.1,650,0,1
98,2,0,0,1930,1.0435
99,1,777,215,0,1
100,1,535,55,0,1
101,1,229.1,11.8,0,1
102,1,78,1.4,0,1
103,2,276.4,59.3,240,1.0233
104,1,514.8,82.7,0,1
105,1,57.9,5.1,0,1
106,1,380.8,37,0,1
107,1,0,0,0,1
108,1,0,0,0,1
109,1,0,0,0,1
110,1,0,0,0,1
111,1,0,0,0,1
112,1,0,0,0,1
113,1,0,0,0,1
114,1,169.2,41.6,0,1
115,1,55.2,18.2,0,1
116,1,273.6,99.8,0,1
117,1,1019.2,135.2,0,1
118,1,595,83.3,0,1
119,1,387.7,114.7,0,1
120,2,145,58,281,1.051
121,1,56.5,24.5,0,1
122,2,89.5,35.5,696,1.0435
123,1,0,0,0,1
124,1,24,14,0,1
125,2,0,0,84,1.0528
126,2,0,0,217,1.0528
127,1,63,25,0,1
128,2,0,0,103,1.0735
129,1,0,0,0,1
130,1,0,0,0,1
131,2,17,9,372,1.0535
132,2,0,0,216,1.0435
133,1,70,5,0,1
134,1,200,50,0,1
135,1,75,50,0,1
136,1,123.5,-24.3,0,1
137,1,0,0,0,1
138,1,33,16.5,0,1
139,1,0,0,0,1
140,1,35,15,0,1
141,1,85,24,0,1
142,1,0,0.4,0,1
143,1,0,0,0,1
144,1,0,0,0,1
145,1,0,0,0,1
146,1,299.9,95.7,0,1
147,1,0,0,0,1
148,1,0,0,0,1
149,2,481.8,205,205,0.929
150,1,763.6,291.1,0,1
151,1,26.5,0,0,1
152,1,163.5,43,0,1
153,1,0,0,0,1
154,1,176,83,0,1
155,2,5,4,228,1.0522
156,2,28,12,84,1.0077
157,1,427.4,173.6,0,1
158,1,74,29,0,1
159,1,69.5,49.3,0,1
